Event Name,Date(s),End Date,City,State,Country,Type,Consumption On-Site,Participation Cost,Accepts Free Product,Event Size,Source URL,Contact Email or IG,Contact Name,Date Added,Status,Last Touch Date,Product Sent,Ship Tracking,Notes,Priority,Tags,Outreach Draft Location,Content Received
4/20 Smoke & Vibe,2026-04-20,,Newark,NJ,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-smoke-vibe-tickets-1987478214842,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Newark, NJ search for '420'",B,eventbrite;420,,
Cannafest DMV: A High-Vibe OktoberSesh Experience!,2026-10-04,,Washington,DC,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/cannafest-dmv-a-high-vibe-oktobersesh-experience-tickets-1982746515201,ricksrulez320@gmail.com,,2026-04-20,Not contacted,,,,"Found via Eventbrite Washington, DC search for 'cannabis'",B,eventbrite;cannabis,,
Washington Psychotronic Film Society: Cannabis Kills! + Elephant Parts,2026-04-20,,Washington,DC,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/washington-psychotronic-film-society-cannabis-kills-elephant-parts-tickets-1986642493176,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Washington, DC search for 'cannabis'",B,eventbrite;cannabis,,
Moms Get High Too: The Day Party,2026-05-02,,Washington,DC,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/moms-get-high-too-the-day-party-tickets-1985942122348,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Washington, DC search for 'cannabis'",B,eventbrite;cannabis,,
3rd Annual Puff. Pass. Paint,2026-04-20,,Philadelphia,PA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/3rd-annual-puff-pass-paint-tickets-1985653745806,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Philadelphia, PA search for 'cannabis'",B,eventbrite;cannabis,,
Wild & Weedy,Recurring,,Philadelphia,PA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/wild-weedy-tickets-1983550121810,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Philadelphia, PA search for 'cannabis'",B,eventbrite;cannabis,,
The Experience by @grilled_n_distilled: Built on Smoke,2026-05-30,,Philadelphia,PA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/the-experience-by-grilled-n-distilled-built-on-smoke-tickets-1986143698267,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Philadelphia, PA search for 'cannabis'",B,eventbrite;cannabis,,
4/20 Celebration at Highway 90,Recurring,,Philadelphia,PA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-celebration-at-highway-90-tickets-1986535850204,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Philadelphia, PA search for '420'",B,eventbrite;420,,
Silk Smoke Seduction,2026-04-24,,Philadelphia,PA,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/silk-smoke-seduction-tickets-1987004239168,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Philadelphia, PA search for '420'",B,eventbrite;420,,
420 Celebration,2026-04-20,,Miami,FL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-celebration-tickets-1987615049117,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Miami, FL search for 'cannabis'",B,eventbrite;cannabis,,
HIGH LIGHTS: JAZZ DISPENSARY 10-Year Anniversary Celebration 4/20 @ Sweat,2026-04-20,,Miami,FL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/high-lights-jazz-dispensary-10-year-anniversary-celebration-420-sweat-tickets-1986550592298,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Miami, FL search for '420'",B,eventbrite;420,,
420  MIAMI MONDAYS 1 ANNUAL EVENT,2026-04-20,,Miami,FL,US,End User,Unknown,$0,Unknown,,https://www.eventbrite.com/e/420-miami-mondays-1-annual-event-tickets-1987747221448,,,2026-04-20,Not contacted,,,,"Found via Eventbrite Miami, FL search for '420'",B,eventbrite;420,,
Pot Stock LA / Smoke Sessions,Monthly-ish,,Los Angeles,CA,USA,End User,Yes,$0,Yes,<100,IG discovery,@potstockla;@smokesessionsla;@thehigherlearning,,2026-04-18,Not contacted,,,,Invite-only private events. Build IG relationships.,A,sesh;private,,
Secret Spot DTLA — Open Collab Sunday Sesh,Recurring Sundays,,Los Angeles,CA,USA,End User,Yes,$0,Yes,<100,https://www.eventbrite.com/o/secret-spot-dtla,@secretspotdtla,,2026-04-18,Not contacted,,,,Recurring sesh — ongoing product placement opportunity.,A,sesh;recurring;consumption,,
Kushstock Concert Series,TBD 2026,,Los Angeles,CA,USA,End User,Yes,$0,Yes,500-2000,https://eventhi.io,@kushstockfestival,,2026-04-18,Not contacted,,,,Same org as Kushstock Festival. Build one relationship = multiple event access.,B,concert;recurring;consumption,,
Grass Lands @ Outside Lands,TBD Aug 2026,,San Francisco,CA,USA,End User,Yes,Sponsorship only,Unknown,2000+,https://sfoutsidelands.com,love@sfoutsidelands.com,,2026-04-18,Not contacted,,,,21+ cannabis area inside major music fest. Try via their licensed vendor partners.,B,festival;music;consumption,,
Eventbrite LA sesh meetups,Weekly,,Los Angeles,CA,USA,End User,Yes,$0,Yes,<100,https://eventbrite.com/d/ca--los-angeles/cannabi/,Varies per event,,2026-04-18,Not contacted,,,,Source: weekly Eventbrite sweep. Small consumption-friendly events.,A,sesh;recurring,,
Eventbrite Bay Area sesh meetups,Weekly,,Oakland/SF,CA,USA,End User,Yes,$0,Yes,<100,https://eventbrite.com/d/ca--san-francisco/cannabi/,Varies per event,,2026-04-18,Not contacted,,,,Source: weekly Eventbrite sweep. Oakland has strong sesh scene.,A,sesh;recurring,,
Eventbrite San Diego sesh meetups,Weekly,,San Diego,CA,USA,End User,Yes,$0,Yes,<100,https://eventbrite.com/d/ca--san-diego/cannabi/,Varies per event,,2026-04-18,Not contacted,,,,Source: weekly Eventbrite sweep. SD under-served in our tracking.,A,sesh;recurring,,
The Artist Tree Studio Lounge Events,Year-round,,West Hollywood,CA,USA,End User,Yes,$0,Yes,100-500,https://theartisttree.com,reservations.hawthorne@www.theartisttree.com,,2026-04-18,Not contacted,,,,"Licensed consumption lounge. Hosts STIIIZY, Dabwoods, West Coast Cure activations. Pitch recurring monthly drop.",A,lounge;recurring;consumption,,
Dispensary-hosted events circuit,Year-round,,Multiple,CA,USA,End User,Varies,$0,Yes,<100,Various,Various (Cookies;Stiiizy;Connected;Catalyst;Glass House;Harborside),,2026-04-18,Not contacted,,,,Highest-volume opportunity. Build a dispensary events contact list as parallel workstream.,A,dispensary;recurring,,
Consumption Lounge circuit,Year-round,,Multiple,CA,USA,End User,Yes,$0,Yes,<100,Various,Various (Artist Tree;Pleasure Med WeHo;Original Cannabis Cafe;Studio Lounge LA;2106 Studios),,2026-04-18,Not contacted,,,,On-site use = direct content opportunity. Longer relationship play but highest-fit venue type in CA.,A,lounge;recurring;consumption,,
Budtender appreciation events,Year-round,,Multiple,CA,USA,End User,Varies,$0,Yes,<100,Various,Dispensary GM or marketing contact,,2026-04-18,Not contacted,,,,Point-of-sale influence. Possibly highest-ROI product donation target for King Palm.,A,budtender;recurring,,
CHAMPS Trade Show Atlantic City,2026-03-17,2026-03-19,Atlantic City,NJ,US,Business,Unknown,Booth required,Unknown,2000+,https://champstradeshows.com/,https://champstradeshows.com/,,2026-04-17,Do Not Outreach - Business,,,,CHAMPS Trade Show - counterculture industry's premier B2B event.,C,trade-show,,
Hall of Flowers Ventura,2026-03-18,2026-03-19,Ventura,CA,US,Business,Unknown,Booth required,Unknown,500-2000,https://www.hallofflowers.com/,https://www.hallofflowers.com/,,2026-04-17,Do Not Outreach - Business,,,,World's premier cannabis trade show. Day 1: B2B. Day 2: public cannabis festival with consumption zones. 250+ brands.,C,trade-show,,
Total Product Expo (TPE) 2026,2026-03-31,2026-04-02,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,500-2000,https://totalproductexpo.com/,info@totalproductexpo.com,,2026-04-17,Do Not Outreach - Business,,,,"North America's largest B2B trade show for tobacco, vape, alternative products.",C,trade-show,,
